name,ID,SMILES,InChI,Caco-2Papp?(¡Á 10?6?cm/s),LogPapp
,CHEMBL1809085,C\C=C(/C)\C(=O)N[C@H]([C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3cccc(c3)N=[N+]=[N-])[C@@H]4[C@@]5(CO[C@@H]5C[C@H](OC(=O)CC(F)(F)F)[C@@]4(C)C(=O)[C@H](O)C(=C1C)C2(C)C)OC(=O)C)c6ccccc6,CTEGQGCSBIAESG-LYOFYBKXSA-N,300,2.477121255
,CHEMBL558,CC(N)COc1c(C)cccc1C,VLPIATFUUWWMKC-UHFFFAOYSA-N,281.8,2.449940989
,CHEMBL634,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)c3ccccc3)C1=O,IDBPHNDTYPBSNI-UHFFFAOYSA-N,270,2.431363764
,CHEMBL1809087,CNC(=O)O[C@H]1C[C@H]2OC[C@@]2(OC(=O)C)[C@H]3[C@H](OC(=O)c4cccc(c4)N=[N+]=[N-])[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)\C(=C\C)\C)c6ccccc6)C(=C([C@@H](O)C(=O)[C@]13C)C5(C)C)C,KDBOQQJMISUUFV-HYZYLMBUSA-N,255,2.40654018
,CHEMBL53325,COc1cccc2C(CCCN3CCN(CC3)C4CCCCC4)CCCc12,PHRCDWVPTULQMT-UHFFFAOYSA-N,249.6,2.397244581
,CHEMBL266195,CC(C)NCC(O)COc1ccccc1CC=C,PAZJSJFMUHDSTF-UHFFFAOYSA-N,240,2.380211242
Fenofibrate,CAS49562-28-9,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,YMTINGFKWWXKFG-UHFFFAOYSA-N,220,2.342422681
,CHEMBL277474,CN1N(C(=O)C=C1C)c2ccccc2,VEQOALNAAJBPNY-UHFFFAOYSA-N,215,2.33243846
Aprepitant,CAS170729-80-3,C[C@@H](O[C@H]1OCCN(Cc2nc(=O)[nH][nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,ATALOFNDEOCMKK-OITMNORJSA-N,170,2.230448921
,CHEMBL405448,COc1ccc2CCC\C(=C/CCN3CCc4cc(OC)c(OC)cc4C3)\c2c1,IQMBOMLUAIPKTA-QGMBQPNBSA-N,166.3,2.220892249
Sulforaphane,CAS4478-93-7,C[S@](=O)CCCCN=C=S,SUVMJBTUFCVSAD-JTQLQIEISA-N,141,2.149219113
,CHEMBL1809083,C\C=C(/C)\C(=O)N[C@H]([C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3cccc(c3)N=[N+]=[N-])[C@@H]4[C@@]5(CO[C@@H]5C[C@H](OC(=O)CNC(=O)OC(C)(C)C)[C@@]4(C)C(=O)[C@H](O)C(=C1C)C2(C)C)OC(=O)C)c6ccccc6,FSWFWXODJXMHQC-UGZQPEDKSA-N,123,2.089905111
AZ1,PubChemCID2266,C(CCCC(=O)O)CCCC(=O)O,BDJRBEYXGGNYIS-UHFFFAOYSA-N,120,2.079181246
,CHEMBL1829170,OC(=O)CCc1ccc(cc1)C#Cc2cc(Cl)nc(Cl)c2,GCWBKYDSSJIRNJ-UHFFFAOYSA-N,112,2.049218023
,CHEMBL3577957,Cl.O=C(N1CCN(CC1)C2CC2)c3ccc(CN4CCOCC4)cc3,MRTJHEDYFUFHHQ-UHFFFAOYSA-N,108,2.033423755
,CHEMBL1223235,C(c1ccccc1)n2nnnc2C(N3CCCN(CC3)C4CCC4)c5ccc(cc5)n6cncn6,IFFHPDKLLFCYAG-UHFFFAOYSA-N,104,2.017033339
,CHEMBL124787,CC(C)[C@@H](NC(=O)C)C(=O)NCCc1ccccc1,KDWYUXCCSWVIAK-CQSZACIVSA-N,97,1.986771734
,CHEMBL1834184,CCC(=O)N[C@H]1CC[C@H](C1)C(=O)N(C)c2ccc(cc2)c3oc4ccccc4n3,YNFDIGJKJPNFFD-SJORKVTESA-N,94,1.973127854
,CHEMBL2315528,OC(=O)CCc1ccc(cc1)C#Cc2ccccc2CC#N,AMKACOPNIVQTHQ-UHFFFAOYSA-N,91,1.959041392
,CHEMBL2409627,COCC[C@H]1C[C@@H]1c2cncc(OC[C@@H]3CCCN3C)c2.OC(=O)C(F)(F)F,WZLVCXHBPZBGGB-FWBJMGQWSA-N,90.9,1.958563883
,CHEMBL3309334,C=CCN1C(=O)N(CC=C)c2ncccc2C1=O,GSDIYWQQYOVRDX-UHFFFAOYSA-N,90.7,1.957607287
,CHEMBL3613075,COc1cccc(OC)c1C(=O)\C=C\c2occc2,OGJQMNRBIMMIQX-CMDGGOBGSA-N,90.3,1.95568775
,CHEMBL1671936,CC(C)(C)CC(=O)Nc1c(F)cc(cc1F)C(=O)Nc2nccs2,KEUJAGGJGBWRFC-UHFFFAOYSA-N,88,1.944482672
,CHEMBL449588,Cc1ccccc1C#Cc2ccc(CCC(=O)O)cc2,FODHWOBAQBTTFS-UHFFFAOYSA-N,87,1.939519253
,CHEMBL259366,COc1cc2CCN(CCCC3CCCc4cc(OC)c(OC)cc34)Cc2cc1OC,ILEQWDOJJVJXBN-UHFFFAOYSA-N,86.8,1.938519725
,CHEMBL2348002,O=C1N2C(=NC3=C1CCCC3)C(=O)c4ccccc24,GGENRIHEBNSDRO-UHFFFAOYSA-N,85.4,1.931457871
,CHEMBL2043431,O=C(N[C@@H]1CCC[C@@H](C1)c2nc3ccccc3[nH]2)c4ccc5OCCOc5c4,BLFYHCYJCRNVIH-GOEBONIOSA-N,85,1.929418926
,CHEMBL597879,CN(C)C1CCN(C1)C(=O)c2ccc(Cn3c(nc4ccccc34)c5ccccc5)cc2,UYKJSYAQDGARFD-UHFFFAOYSA-N,84.9,1.92890769
,CHEMBL2171902,CN1C(=O)c2ccccc2C(=C)c3cc(O)ccc13,VGQGXKVPVNOLEN-UHFFFAOYSA-N,84.3,1.925827575
,CHEMBL2165819,Nc1c(cnc2ccnn12)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4,BWUXSHHOKODNAK-HDJSIYSDSA-N,84,1.924279286
,CHEMBL259367,COc1ccc2C(CCCN3CCc4cc(OC)c(OC)cc4C3)CCCc2c1,HJBMLYTXOFQZDS-UHFFFAOYSA-N,82.8,1.918030337
,CHEMBL1277122,CC1=C2C(=CC(=O)N1Cc3cccnc3)NN(C2=O)c4ccccc4,ISLQXEIRVZXLJA-UHFFFAOYSA-N,79.2,1.898725182
,CHEMBL3785663,O=C(N1CC(C1)Oc2ccc(CN3CC4(COC4)C3)cc2)c5oc(nn5)c6ccccc6,PZFODDBHTCTTPH-UHFFFAOYSA-N,79,1.897627091
,CHEMBL1277853,Clc1ccccc1N2NC3=CC(=O)N(Cc4cnccn4)C(=C3C2=O)COCc5ccccc5,TULJLCAZHLOETP-UHFFFAOYSA-N,78.6,1.895422546
,CHEMBL1171754,Fc1ccc(Oc2ccc(cn2)C(=O)N3CCCN(CC3)C4CCC4)cc1,IQOWHZHNGJXGHG-UHFFFAOYSA-N,78,1.892094603
,CHEMBL405615,COc1cc2CCN(Cc3ccc(cc3)c4ccccc4)Cc2cc1OC,YUOFPIFTPKDZRM-UHFFFAOYSA-N,77.7,1.890421019
,CHEMBL408993,COc1cc2CCN(CCC=C3CCCCC3)Cc2cc1OC,NERQQHBBXMVPQY-UHFFFAOYSA-N,77.4,1.888740961
,CHEMBL445990,Oc1noc2cc(Cl)ccc12,SJAPSPJRTQCDNO-UHFFFAOYSA-N,77,1.886490725
,CHEMBL1171756,O=C(N1CCCN(CC1)C2CCC2)c3ccc(Oc4cccc(c4)C#N)nc3,WWZNPNMHGHEVNB-UHFFFAOYSA-N,77,1.886490725
,CHEMBL2332735,CN1C(=CC(=C(C1=O)c2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)OCC4CCOC4)cc2)C(F)(F)F)C,MVWSNHDVJTYROK-IMMUGOHXSA-N,76.4,1.883093359
,CHEMBL90568,COc1ccc(cc1O)C2=CC(=O)c3c(O)cc(O)cc3O2,MBNGWHIJMBWFHU-UHFFFAOYSA-N,76.2,1.881954971
,CHEMBL2158990,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H]4CCCN4C(=O)[C@H](Cc5ccc(O)cc5)NC(=O)CCC(=O)N[C@@H]6O[C@H](CO)[C@@H](O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O,TZWYCIMHWJSLEB-LWCONMITSA-N,76,1.880813592
,CHEMBL2347776,Clc1ccc2N3C(=O)c4cccnc4N=C3C(=O)c2c1,RLMFTPUHPDJABP-UHFFFAOYSA-N,73.8,1.868056362
,CHEMBL1412368,O=C1CC(=O)N(CCc2ccccc2)C(=O)N1CCc3ccccc3,HSNSQMGDNFKEES-UHFFFAOYSA-N,73.4,1.86569606
,CHEMBL3604331,C[C@H]1N(CCn2c1nnc2c3ccccn3)C(=O)c4cccc(Cl)c4Cl,LKRYOMVAVRZUMD-LLVKDONJSA-N,73.4,1.86569606
,CHEMBL507361,OC[C@@H](O)CONC(=O)c1ccc(F)c(F)c1Nc2ccc(I)cc2F,SUDAHWBOROXANE-SECBINFHSA-N,72.7,1.861534411
,CHEMBL2386353,OC(=O)CCc1ccc(cc1F)C#Cc2ccccc2CC#N,KIZUBVPJNPVIIN-UHFFFAOYSA-N,72,1.857332496
,CHEMBL2380449,COc1cccc(c1)c2cccc(c2)C3(C)CCSC(=N3)N,XMHWIBGIDNZGAB-UHFFFAOYSA-N,72,1.857332496
,CHEMBL162939,N#Cc1cccc(Cn2cccn2)c1,XBYBAGJXNBFJON-UHFFFAOYSA-N,71.9,1.85672889
,CHEMBL3577956,O=C(N1CCN(CC1)C2CCC2)c3ccc(CN4CCOCC4)cc3,ABJWJGMTLYSISP-UHFFFAOYSA-N,71.2,1.852479994
,CHEMBL347547,C(c1ccccc1)n2cnc3ccccc23,MNEIJGDSFRHGMS-UHFFFAOYSA-N,71.1,1.851869601
,CHEMBL458224,COC[C@H]1CCCN1c2cc(NC(=O)C)nc(n2)n3nc(C)cc3C,FGADYIBOWLXZLA-CQSZACIVSA-N,70,1.84509804
,CHEMBL383478,CCN(C(=O)C(C)C)c1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F,QKROGJIOEIMFTC-UHFFFAOYSA-N,69.1,1.839478047
,CHEMBL1783876,COc1ccc(cc1)N2C=Nc3c(sc4nccc(NCC#C)c34)C2=O,WIAAIYJUCDAKFY-UHFFFAOYSA-N,69,1.838849091
,CHEMBL205931,CCN(C(=O)N1CCOCC1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,ZMHUCHJRHVDHLO-UHFFFAOYSA-N,68.2,1.833784375
,CHEMBL14192,C(c1ccccc1)n2ccnc2,KKKDZZRICRFGSD-UHFFFAOYSA-N,68.1,1.833147112
,CHEMBL163922,N#Cc1cccc(Cn2ccnc2)c1,BTCQQQUDIZILEJ-UHFFFAOYSA-N,67.8,1.831229694
,CHEMBL261802,COc1cc2CCN(CCCC3=CCCc4cc(OC)c(OC)cc34)Cc2cc1OC,BVIGBAHRVHMUBL-UHFFFAOYSA-N,67.2,1.827369273
,CHEMBL1800757,O=C(C1CCOCC1)N2CCCN(CC2)c3nc(ns3)c4ccccc4,IESZJRXOTMALFU-UHFFFAOYSA-N,67,1.826074803
,CHEMBL557885,COc1ccc(Nc2nc3cc(ccc3n2Cc4ccccc4C(F)(F)F)C(=O)N)cc1,IJOLYFZBLJPKPI-UHFFFAOYSA-N,67,1.826074803
,CHEMBL3787134,COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN(C)C)cc4,GBVYBJDKBXZTCJ-UHFFFAOYSA-N,67,1.826074803
,CHEMBL3314850,Clc1ccnc(c1)C(=O)Nc2cncc(Oc3cncnc3)n2,UEUUWJVQGWZIJY-UHFFFAOYSA-N,66.8,1.824776462
,CHEMBL163429,N#Cc1cccc(Cc2ncccn2)c1,ORUUEUDAGDOAFE-UHFFFAOYSA-N,66.7,1.824125834
,CHEMBL1098875,Fc1ccc2N3C(=O)c4ccccc4N=C3C(=O)c2c1,UXBGZQXHNVNPFT-UHFFFAOYSA-N,66.6,1.823474229
,CHEMBL1766846,Fc1cccc(CCN2C(=O)CC(=O)N(CCc3cccc(F)c3)C2=O)c1,WXQCUPZVMCNXDQ-UHFFFAOYSA-N,66.3,1.821513528
,CHEMBL1900956,FC(F)(F)c1cccc(NC(=O)Nc2ccc(Oc3ncnc4cc(Cl)ccc34)nc2)c1,NFVRDGGMXZKYJI-UHFFFAOYSA-N,66.23,1.821054755
,CHEMBL8809,CCN1CCC[C@H]1CNC(=O)c2c(O)c(Cl)cc(Cl)c2OC,WAOQONBSWFLFPE-VIFPVBQESA-N,66,1.819543936
,CHEMBL1972466,CC(Nc1ccccc1)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C,CPRAGQJXBLMUEL-UHFFFAOYSA-N,66,1.819543936
,CHEMBL2089280,C[C@@H]1N[S@@](=O)(=NC1=O)c2cccc(c2)c3ccc(C)cc3,ITZBEQGOAOHOQM-LAJNKCICSA-N,66,1.819543936
,CHEMBL3823609,C[C@H]1C[C@H]2CC[C@H]3OC(=O)C(=C1)[C@@]23O,SOIISBQQYAGDKM-QJSROADHSA-N,65.9,1.818885415
,CHEMBL163981,N#Cc1cccc(Cn2cnc3ccccc23)c1,LXWMENDLAGLVFJ-UHFFFAOYSA-N,65.8,1.818225894
,CHEMBL3309997,OCCCNc1ccc2c(c1)nc(c3ccc4OCOc4c3)n5ncnc25,GIAVVFIPFBOBRR-UHFFFAOYSA-N,65.4,1.815577748
,CHEMBL3407652,CCN1CC(C)(C)OC(=O)C1CC(=O)Nc2ccc(cc2)C(C)C,QPLWIEGBKHLNPO-UHFFFAOYSA-N,65,1.812913357
,CHEMBL3318710,CC(Nc1ccccc1)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C(=O)O,FFPYSWFIIWOKHH-UHFFFAOYSA-N,65,1.812913357
,CHEMBL3586436,Cc1cc(C)nc(n1)N2C[C@H]3CN(C[C@H]3C2)C(=O)c4c(F)cccc4n5nccn5,SQOCEMCKYDVLMM-IYBDPMFKSA-N,64.1,1.80685803
,CHEMBL1270795,CSc1cn2c(cnc2c(Nc3cc(C)ns3)n1)c4cn[nH]c4,FTFDOZLQPLTYBX-UHFFFAOYSA-N,63.3,1.80140371
,CHEMBL3309335,CCCN1C(=O)N(CCC)c2ncccc2C1=O,VFIFWXIQCFAUJZ-UHFFFAOYSA-N,63,1.799340549
,CHEMBL1277933,CN1C(=O)C=C2NN(C(=O)C2=C1COCc3ccccc3Cl)c4ccccc4Cl,TZPRBPWSPHMJIH-UHFFFAOYSA-N,62.6,1.796574333
,CHEMBL3586433,Cc1cc(C)nc(n1)N2C[C@H]3CN(C[C@H]3C2)C(=O)c4cccc(F)c4n5nccn5,RQCIXSIWGGVIAE-IYBDPMFKSA-N,62.3,1.794488047
,CHEMBL483158,COc1cccc(F)c1C2=NCc3cnc(Nc4ccc(C(=O)O)c(OC)c4)nc3c5ccc(Cl)cc25,ZLHFILGSQDJULK-UHFFFAOYSA-N,62,1.792391689
,CHEMBL3787170,COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN(C)C)c(F)c4,CPXPNCAOORGSPG-UHFFFAOYSA-N,62,1.792391689
,CHEMBL3787333,CN(C)Cc1ccc(OC2CN(C2)C(=O)c3oc(nn3)c4ccccc4)c(C)c1,JEDWHKAWYKJOTJ-UHFFFAOYSA-N,62,1.792391689
,CHEMBL1800754,Clc1ccc2nc(sc2c1)N3CCCN(CC3)C(=O)C4CCOCC4,OFFBCKBFOVVGLM-UHFFFAOYSA-N,62,1.792391689
,CHEMBL260499,COc1ccc2CCC=C(CCCN3CCc4cc(OC)c(OC)cc4C3)c2c1,NLSOIGZWHUMJEN-UHFFFAOYSA-N,61,1.785329835
,CHEMBL3787394,COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN5CC6(COC6)C5)cc4,BKKPIQPFRAPEAY-UHFFFAOYSA-N,61,1.785329835
,CHEMBL2347763,Clc1ccc2N3Cc4ccccc4N=C3C(=O)c2c1,HYTLBVVBBREIBV-UHFFFAOYSA-N,60.8,1.783903579
,CHEMBL306946,O=C1N2C(=Nc3ccccc13)C(=O)c4ccccc24,VQQVWGVXDIPORV-UHFFFAOYSA-N,60.1,1.778874472
,CHEMBL438729,COc1cc2CCN(Cc2cc1OC)C(=O)c3ccc(cc3)c4ccccc4,SIAMHHWLPXPIRL-UHFFFAOYSA-N,60.1,1.778874472
,CHEMBL3358422,ONC(=O)[C@H](Cc1ccccc1)NC(=O)OCc2ccccc2,UKGDHYIOCFNBIP-HNNXBMFYSA-N,60,1.77815125
,CHEMBL3786841,COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN5CC6(CCOC6)C5)cc4,LXEBBSCEMHHDNI-UHFFFAOYSA-N,60,1.77815125
,CHEMBL2164881,CCCN(CCO)C(=O)c1cc2ccccn2c1c3ccccc3,QXDURZPZWNPAIN-UHFFFAOYSA-N,60,1.77815125
,CHEMBL3758618,CC(C)C[C@H](OC(=O)C(C)(C)C)C(=O)NC1(CCCC1)C(=O)N[C@@H](CCc2ccccc2)C(=O)OC(C)(C)C,DTAABNYDKJLOPO-ZEQRLZLVSA-N,60,1.77815125
,CHEMBL2347780,O=C(N1CCCCC1)c2ccc3N4C(=O)c5ccccc5N=C4C(=O)c3c2,WVDXTUGLBMWNFZ-UHFFFAOYSA-N,59.9,1.777426822
,CHEMBL3786923,Clc1ccccc1c2oc(nn2)C(=O)N3CCC(CC3)Oc4ccc(CN5CCCC5)cc4,ZLHZWHORQLVLGW-UHFFFAOYSA-N,59,1.770852012
,CHEMBL264424,COc1cccc2\C(=C\CCN3CCCCC3)\CCCc12,OQZQEGAAANHHRE-CXUHLZMHSA-N,58.4,1.766412847
,CHEMBL559845,Cn1nc(C(=O)N)c2CCc3cnc(Nc4ccccc4)nc3c12,UTHWBIPHRYUJSU-UHFFFAOYSA-N,58.3,1.765668555
,CHEMBL3091536,CN1C(=O)C=C(N=C1N2CCO[C@H](C2)c3ccc(F)cc3)c4ccncn4,NKUNFNVAHJNALA-QGZVFWFLSA-N,58.3,1.765668555
,CHEMBL3586434,Cc1cc(C)nc(n1)N2C[C@H]3CN(C[C@H]3C2)C(=O)c4ccc(F)cc4n5nccn5,ILQWQOBQPYXUMR-IYBDPMFKSA-N,58.1,1.764176132
,CHEMBL2164886,COc1cccc(c1)c2c(cc3ccccn23)C(=O)N4CCCCC4CO,CORFFCKGBFFQAQ-UHFFFAOYSA-N,58,1.763427994
,CHEMBL3134101,CCC1(C)NC(=O)c2cc(cc(Cl)c2NC1=O)S(=O)(=O)Nc3ccc(cc3OC)C(F)(F)F,LHZAXASBQCMLTD-UHFFFAOYSA-N,58,1.763427994
,CHEMBL2178933,Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CCO)CC3,BUVUEKVZSMDFQG-WKILWMFISA-N,58,1.763427994
,CHEMBL3586472,[Na+].[O-]C(=O)c1ccc(Nc2ncc3CN=C(c4ccccc4F)c5cc(Cl)ccc5c3n2)cc1,HVWCQYGCLIIRQB-UHFFFAOYSA-M,58,1.763427994
,CHEMBL1224151,COc1cc(\C=C\2/CCCN([C@@H](C)c3ccc(F)cc3)C2=O)ccc1n4cnc(C)c4,PUOAETJYKQITMO-LANLRWRYSA-N,57.9,1.762678564
,CHEMBL163694,Nc1cccc(Cn2cnc3ccccc23)c1,PBCMAQMJRXLGTE-UHFFFAOYSA-N,57.4,1.758911892
,CHEMBL2010836,CN(C1CCN(Cc2ccc(cc2)C(F)(F)F)CC1)C(=O)Cc3ccc(cc3)n4cnnn4,AZRVSANIIWCDJQ-UHFFFAOYSA-N,57,1.755874856
,CHEMBL2180033,CC1=NC(N=C1N)(C2CC2)c3cccc(c3)c4cncc(Cl)c4,BASHYZBACCLMHK-UHFFFAOYSA-N,57,1.755874856
,CHEMBL1259145,CC(C)C(=O)NCc1ccc2Sc3ccccc3CC(N4CCN(C)CC4)c2c1,SHVCHMGRIYXVAY-UHFFFAOYSA-N,57,1.755874856
Omeprazole,CAS73590-58-6,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1,SUBDBMMJDZJVOS-UHFFFAOYSA-N,56,1.748188027
,CHEMBL3786662,COc1ccc(cc1)c2oc(nn2)C(=O)N3CCC(CC3)Oc4ccc(CN5CCOCC5)cc4,XAIXQGFIYLMGHF-UHFFFAOYSA-N,56,1.748188027
,CHEMBL3785118,COc1ccc(cc1)c2oc(nn2)C(=O)N3CCC(CC3)Oc4ccc(CN5CCN(C)CC5)cc4,FEVDGOBPECQEPO-UHFFFAOYSA-N,56,1.748188027
,CHEMBL2164884,CCN(CCO)C(=O)c1cc2ccccn2c1c3cccc(OC)n3,PITYPMPLEOAHRY-UHFFFAOYSA-N,56,1.748188027
,CHEMBL1203925,Cl.OC(=O)c1ccc2c(C3CCCCC3)c4c5ccccc5NCCn4c2c1,WKPFTTRWUKUWFJ-UHFFFAOYSA-N,55.9,1.747411808
,CHEMBL3787457,O=C(N1CCC(CC1)Oc2ccc(CN3CCCC3)cc2)c4oc(nn4)c5ccccc5,GVNDNPHFZXUQIN-UHFFFAOYSA-N,55,1.740362689
,CHEMBL500,CC(C)NCC(O)COc1cccc2[nH]ccc12,JZQKKSLKJUAGIC-UHFFFAOYSA-N,55,1.740362689
,CHEMBL3797698,C[C@@H]1CN(CCO1)C2=CC(=O)c3cc(cc(CN(C)c4cc(F)cc(F)c4)c3O2)C(=O)N(C)C,VDJLCUIWYWCCEO-OAHLLOKOSA-N,55,1.740362689
,CHEMBL3222252,Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)c4cccc(C#N)c4Cl,JGWIEHZNLZLGKQ-UHFFFAOYSA-N,54.8,1.738780558
,CHEMBL1271676,CCOP(=O)(OCC)N1C\C(=C/c2ccc(OC)c(OC)c2)\C(=O)\C(=C\c3ccc(OC)c(OC)c3)\C1,HYFJPFXSNFMRGX-JFMUQQRKSA-N,54.7,1.737987326
,CHEMBL3401118,C[C@@H]1COCCN1C2=NC(=CC(=O)N2C)c3ccncc3F,IFMJXLLSGLDSMX-SNVBAGLBSA-N,54.6,1.737192643
,CHEMBL3401132,CN1C(=O)C=C(N=C1N2CCO[C@@H]3COC[C@@H]23)c4ccncc4F,LZPSMMDCTAIZFR-ZIAGYGMSSA-N,54.5,1.736396502
,CHEMBL382794,CCN(C(=O)c1ccncc1)c2ccc(cc2)C(O)(C(F)(F)F)C(F)(F)F,RNWLFGIPIJCAAQ-UHFFFAOYSA-N,54.4,1.7355989
,CHEMBL2181103,CC(=O)c1ccc(cc1)N2CCN(CC2)S(=O)(=O)c3cc4CC(=O)Nc4cc3Cl,VLLUKRPQSNNZJT-UHFFFAOYSA-N,54.3,1.73479983
,CHEMBL3233886,OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4c(ccnc4c3)C(=O)Nc5ccccc5,RDDGLYXQKYYPAJ-MEMLXQNLSA-N,54.2,1.733999287
,CHEMBL259084,OC(=O)c1ccc(Nc2ncc3CN=C(c4cc(Cl)ccc4c3n2)c5c(F)cccc5F)cc1,HHFBDROWDBDFBR-UHFFFAOYSA-N,54,1.73239376
,CHEMBL3786272,COc1ccc(cc1)c2oc(nn2)C(=O)N3CC(C3)Oc4ccc(CN(C)C)c(C)c4,LMMYTKUIDPWMNY-UHFFFAOYSA-N,54,1.73239376
,CHEMBL3217922,COC[C@H](C)Oc1cc(Oc2ccc(cc2)S(=O)(=O)C)cc(c1)C(=O)Nc3nccs3,DCUCWQYSNMLTSW-AWEZNQCLSA-N,54,1.73239376
,CHEMBL2402904,COC(=O)N1CCC(CN2CCC(CNC(=O)c3cccc4[nH]c(nc34)C(C)C)CC2)CC1,MZOITCJKGUIQEI-UHFFFAOYSA-N,54,1.73239376
,CHEMBL2164883,CCN(CCO)C(=O)c1cc2ccccn2c1c3cccc(OC)c3,NXWPSNJCNAFOBE-UHFFFAOYSA-N,54,1.73239376
,CHEMBL3236568,CCc1cc(nc(N)n1)N2CC[C@H](C2)NC,YTSCCHQLULFXJD-SECBINFHSA-N,54,1.73239376
,CHEMBL2206290,CN(C[C@@H]1C[C@H](C1)c2ccc(CN3CCCC3)c(Cl)c2)C(=O)C,LQOGSAVOXSCLHL-RZDIXWSQSA-N,53.4,1.727541257
,CHEMBL1084970,NS(=O)(=O)c1ccc(Nc2nccc(n2)c3ccsc3)cc1,JUIXZPWSSOKEIF-UHFFFAOYSA-N,53.08,1.724930914
,CHEMBL1800758,FC(F)(F)c1nc(sc1Cl)N2CCCN(CC2)C(=O)C3CCOCC3,CEDWYGMNJZUOEL-UHFFFAOYSA-N,53,1.72427587
,CHEMBL561696,CSc1ccc(Nc2nc3cc(ccc3n2Cc4ccccc4C(F)(F)F)C(=O)N)cc1,LDIUIXFIAWISPB-UHFFFAOYSA-N,53,1.72427587
,CHEMBL427043,CCCCOc1ncc(cc1c2nc(O)c3nn(C4CCN(CC)CC4)c(CC)c3n2)C(=O)C,NYWJLHDQEMYKGW-UHFFFAOYSA-N,53,1.72427587
,CHEMBL3809657,CC(=C)[C@@H]1CCC(=C[C@H]1c2c(O)cc(CCn3ccnn3)cc2O)C,ONNYOTOLIHXYQX-DLBZAZTESA-N,53,1.72427587
,CHEMBL2332730,CCCOC(=O)[C@H](Cc1ccc(cc1)C2=C(C=C(C)N(C)C2=O)C(F)(F)F)NC(=O)c3c(Cl)cccc3Cl,AXFFLBLODRTYIJ-NRFANRHFSA-N,52.6,1.720985744
,CHEMBL3747513,Cc1cc2c(cccc2n1c3nc4CCOCc4c(NCc5ccccc5)n3)C(=O)N,RDALZZCKQFLGJP-UHFFFAOYSA-N,52.4,1.719331287
,CHEMBL3358420,O=C(N[C@@H](Cc1ccccc1)C(=O)NC#N)OCc2ccccc2,MIXWJGSHUABFQY-INIZCTEOSA-N,52,1.716003344
,CHEMBL3787131,Fc1ccc(cc1)c2oc(nn2)C(=O)N3CCC(CC3)Oc4ccc(CN5CCCC5)cc4,NLCAWELXTDCMEL-UHFFFAOYSA-N,52,1.716003344
,CHEMBL3601377,COc1ccc(COC2=CC(=O)N(CC(=O)c3ccc(CN(C)C)cc3C)N=C2)nc1,ACBKFGPDANWBLT-UHFFFAOYSA-N,52,1.716003344
,CHEMBL3740099,COc1cc(cnc1OC)N2C(=O)N(Cc3c(F)cc(F)cc3F)c4ncccc4S2(=O)=O,SUQZCEUKWPKXEE-UHFFFAOYSA-N,52,1.716003344
,CHEMBL204109,CC(C)C(=O)N(CCO)c1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F,KOALTMALKSJVNL-UHFFFAOYSA-N,52,1.716003344
,CHEMBL3318706,C[C@@H](Nc1ccccc1C(=O)NO)C2=CC(=CN3C(=O)C=C(N=C23)N4CCOCC4)C,IESJAEYNUNYURS-OAHLLOKOSA-N,52,1.716003344
,CHEMBL385407,CN(C)C(=O)CN1CCn2c(c3ccccc13)c(C4CCCCC4)c5ccc(cc25)C(=O)O,OEMFLNNRPUAOBO-UHFFFAOYSA-N,51.9,1.715167358
,CHEMBL126,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCOCC3)c(F)c2,TYZROVQLWOKYKF-ZDUSSCGKSA-N,51.64,1.712986234
