name,ID,SMILES,InChI,Caco-2Papp?(¡Á 10?6?cm/s),LogPapp
,CHEMBL176140,CS(=O)(=O)c1ccccc1c2ccc(NC(=O)c3cc(nn3c4cccc(CN)c4)C(F)(F)F)c(F)c2,ZLUOAFAJSUPHOG-UHFFFAOYSA-N,4.83,0.683947131
,CHEMBL3786100,Nc1ncnc2c1c(cn2[C@@H]3C[C@H](CN4CC[S+]([O-])CC4)C3)c5cc(OCC67CCC(CC6)O7)ccc5F,JAXCPMZZRNLZBU-ITXHVEOOSA-N,4.8,0.681241237
,CHEMBL3628128,N\C\1=N/C(=O)[C@@H]2CCCN2c3ccc(OCCCCCCNCC(=O)Nc4c(Cl)cc(CN1)cc4Cl)cc3,BROUITSZMXUBKS-QHCPKHFHSA-N,4.8,0.681241237
,CHEMBL3577925,Fc1ccc(c(F)c1)S(=O)(=O)Nc2cc(cnc2Cl)c3cc4c(ncnc4s3)c5ccncc5,OGUIPHCQISNMKY-UHFFFAOYSA-N,4.8,0.681241237
,CHEMBL1951983,COc1cc(ccc1n2cnc(C)c2)c3nnc4c3cc(C)cn4[C@@H](C)c5ccc(F)cc5,SRWHNMYWXISOSP-SFHVURJKSA-N,4.8,0.681241237
,CHEMBL2087435,COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCC(CN3CCN(C)CC3)CC2,RUCYUVVKKKRLGN-UHFFFAOYSA-N,4.8,0.681241237
,CHEMBL2403736,CO[C@]1(C[C@H](N(C1)C(=O)[C@@H](NC(=O)OC2CCCC2)C(C)(C)C)C(=O)N[C@@]3(C[C@H]3C=C)C(=O)NS(=O)(=O)C4CC4)c5ccc(cc5)c6nccs6,RGUUGTSRSHTQIX-ACQRDZJZSA-N,4.8,0.681241237
,CHEMBL2397586,CNc1ccc(cn1)C2=NC(=O)N(CCC3CCC(C)O3)c4c2oc5ncc(cc45)c6cnn(C)c6,FHPFSIJRJJGJIS-UHFFFAOYSA-N,4.8,0.681241237
,CHEMBL3408265,CC(Nc1cc(F)cc(F)c1)c2cc(cc3C(=O)C=C(Oc23)N4CCOCC4)C(=O)N5CCOCC5,HANNCOPSXXARJM-UHFFFAOYSA-N,4.8,0.681241237
Atorvastatin,CAS110862-48-1,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,XUKUURHRXDUEBC-KAYWLYCHSA-N,4.8,0.681241237
,CHEMBL3740177,C[C@H]1Cn2c(CN1C(=O)c3cccc(c3)C(F)(F)C4=NNC(=O)c5ccccc45)nnc2C6CCC6,JSKAMAPIYOMNES-HNNXBMFYSA-N,4.8,0.681241237
,CHEMBL3112866,C[C@H]1Cc2ccccc2N1C(=O)CC3=NC(=CC(=O)N3)N4CCOCC4,UAXHPOBBKRWJGA-ZDUSSCGKSA-N,4.8,0.681241237
,CHEMBL204621,Clc1ccc(Nc2oc(nn2)c3cccnc3CCc4ccncc4)cc1Cl,CIWUKGVMAYCXDC-UHFFFAOYSA-N,4.783333333,0.679730646
,CHEMBL129,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,HBOMLICNUCNMMY-XLPZGREQSA-N,4.775,0.678973376
,CHEMBL3359091,COc1cccc(CNC(=O)C2=Nc3ccc(F)c(OCCc4ccc(cc4)C(=O)O)c3C(=O)N2)c1,YNHGVYGMFAREOF-UHFFFAOYSA-N,4.77,0.678518379
,CHEMBL3425635,CC(C)C[C@@H]1N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](Cc3ccc(O)cc3)NC1=O,WKYORWFRZMKLKY-KYVFHZRVSA-N,4.77,0.678518379
,CHEMBL236419,FC(F)(Cl)Oc1cccc(NC(=O)c2ccnn2CCc3ccncc3)c1,ZYNVSINHORTDLH-UHFFFAOYSA-N,4.733333333,0.67516709
,CHEMBL1172625,CNS(=O)(=O)c1ccc(CC(=O)N(CC=C)C2CCN(C[C@H]3CN(C[C@]3(O)c4ccccc4)C(=O)C5CCCC5)CC2)cc1,XPFKJEFRGMJTEE-DODOAAEWSA-N,4.73,0.674861141
,CHEMBL10921,CCN(CC)CCN(Cc1ccc(cc1)c2ccc(cc2)C(F)(F)F)C(=O)CN3C=C(Cc4cnn(C)c4)C(=O)N=C3SCc5ccc(F)cc5,VGIQUSQBXZXBGW-UHFFFAOYSA-N,4.722222222,0.674146421
,CHEMBL490868,O[C@@H](CN1[C@H](CCc2c1cccc2c3cccc(OC(F)(F)F)c3)c4cccc(OC(F)(F)F)c4)C(F)(F)F,CMOJRCASVGGDKQ-GGAORHGYSA-N,4.7,0.672097858
,CHEMBL1774918,Nc1nc2CN(Cc2c(n1)c3c(Cl)cc(Cl)cc3OCCn4cccn4)C(=O)NC5CCC5,HHVKWRGBSXPPJI-UHFFFAOYSA-N,4.7,0.672097858
,CHEMBL257348,NC[C@@H]1C[C@@]1(C(=O)C2NCc3ccccc23)c4ccsc4,RGPDAGIHVSVOQP-BDBMTWCYSA-N,4.7,0.672097858
,CHEMBL445730,CSc1ccc(\C=C\C(=O)NC2(CCCC2)C(=O)N[C@H](Cc3ccccc3)C(=O)NCC4CCN(CC5CCOCC5)CC4)cc1,VGEWWRRLVWLZAP-JMRYHUDMSA-N,4.7,0.672097858
,CHEMBL564370,CN1C(=O)C=C(N2CCCN(CCCN3c4ccccc4Sc5ccc(cc35)C(=O)O)CC2)N(C)C1=O,UDCCWKBPMHTQIP-UHFFFAOYSA-N,4.7,0.672097858
,CHEMBL551394,CN1C(=O)C=C(N(C)C1=O)C2=CCN(CCCN3c4ccccc4Sc5ccc(CC(=O)O)cc35)CC2,SSIZXVUYAOUIQY-UHFFFAOYSA-N,4.7,0.672097858
,CHEMBL211410,CN(C)Cc1ccccc1c2ccc(cc2)N3CCc4c(C3=O)n(nc4C(F)(F)F)c5ccc6onc(N)c6c5,GJINLTTVIZRYJU-UHFFFAOYSA-N,4.7,0.672097858
,CHEMBL401676,CCN(CC)C(=O)[C@]1(C[C@H]1CN)c2ccsc2,BJQGGALRPGCIFD-WCQYABFASA-N,4.7,0.672097858
,CHEMBL260988,CCN(CC)C(=O)[C@]1(C[C@H]1CN)c2ccc3OCOc3c2,PRTQZTFEHWCKDF-BLLLJJGKSA-N,4.7,0.672097858
,CHEMBL1643550,Cc1cc(SCC2=CC(=O)NN2)c(Cl)cc1Cl,FOWFHADQRPRSBA-UHFFFAOYSA-N,4.7,0.672097858
,CHEMBL385147,CC1=Nc2c(C)nn(c3ccc4onc(N)c4c3)c2C(=O)N1c5ccc(cc5)c6ccccc6CN7CC[C@@H](O)C7.OC(=O)C(F)(F)F,YDPYRICTYQDRNS-GJFSDDNBSA-N,4.7,0.672097858
,CHEMBL242847,CC(C)(NC(=O)c1cc2ccccc2s1)C(=O)N[C@H](Cc3ccccc3)C(=O)NCCCN4CCOCC4,SQYYANNTSKMXLF-HSZRJFAPSA-N,4.7,0.672097858
,CHEMBL2177915,CC#Cc1cncc(c1)c2cccc(c2)C3(N=C(N)c4c(F)cccc34)c5ccnc(c5)C(F)F,JHBVXZXFCJIAJZ-UHFFFAOYSA-N,4.7,0.672097858
,CHEMBL2323802,CC(C)OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O,DLAGYCHBKRBCAY-UHFFFAOYSA-N,4.69,0.671172843
,CHEMBL3098561,CO[C@H]1C[C@H]2OC[C@@]2(OC(=O)C)[C@H]3[C@H](OC(=O)c4ccccc4)[C@]56OC(=O)O[C@H]5[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c7ccccn7)C(=C([C@@H](OC(=O)N(C)C)C(=O)[C@]13C)C6(C)C)C,FWZHHMAVFQEEMW-QCBQWPGPSA-N,4.68,0.670245853
,CHEMBL1928510,[SeH]c1nc([SeH])c2ccccc2n1,FYHVCAWBYNDQLE-UHFFFAOYSA-N,4.672,0.669502834
,CHEMBL240937,CCCCCCCCCCC(NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N,GZXFUPAPUZOJGI-LMOFDZDWSA-N,4.664,0.668758542
,CHEMBL205288,N[C@H]1CCN(Cc2ccccc2c3ccc(NC(=O)c4cc(nn4c5ccc6onc(N)c6c5)C(F)(F)F)c(F)c3)C1,YHIZCAWNRNQWMF-SFHVURJKSA-N,4.64,0.666517981
,CHEMBL2177160,Nc1ncc(nc1C(=O)Nc2cccnc2)c3ccc(OCCN4CCCCC4)cc3,KOUQYYUELAWJJG-UHFFFAOYSA-N,4.6,0.662757832
,CHEMBL3112853,FC(F)(F)c1cccc2N(CCc12)C(=O)CC3=NC(=CC(=O)N3)N4CCOCC4,JVFSDXQBBQIWBM-UHFFFAOYSA-N,4.6,0.662757832
,CHEMBL233823,FC(F)(F)c1ccc(NC(=O)c2ccnn2CCc3ccncc3)cc1Cl,LMEHSVKTVLMKTO-UHFFFAOYSA-N,4.6,0.662757832
,CHEMBL1078889,CS(=O)(=O)Nc1ccc(cc1)c2ccnc(Nc3ccc(CN4CCS(=O)(=O)CC4)cc3)n2,NPIJYPKOHBKMAM-UHFFFAOYSA-N,4.6,0.662757832
,CHEMBL571578,COc1cccc2[nH]cc(C(=O)C(=O)N3CCN(C[C@H]3C)C(=O)c4ccccc4)c12,YWHUPMDHHBIXPR-OAHLLOKOSA-N,4.6,0.662757832
,CHEMBL518253,COc1ccc(cc1)n2nc(C#N)c3CCN(C(=O)c23)c4ccc(cc4)C5(CN(C)C)CC5.OC(=O)C(F)(F)F,RKZNZONKPWRCOC-UHFFFAOYSA-N,4.6,0.662757832
,CHEMBL1253575,COc1cc(\C=C\C(=C(/Cc2cn(CCCCCCNC(=O)CCNC(=O)CCNC(=O)CO[C@H]3CC[C@]4(C)[C@H]5CC[C@]6(C)[C@H](CC[C@H]6[C@@H]5CC=C4C3)[C@H](C)CCCC(C)C)nn2)\C(=O)\C=C\c7ccc(O)c(OC)c7)\O)ccc1O,VUPKAWACIDJFJR-MGARCKLBSA-N,4.6,0.662757832
,CHEMBL3221300,CNC(=O)[C@@H](NC(=O)[C@@](O)(CCCN(Cc1ccc(Br)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)Cc2ccccc2)C(C)(C)C,YZTNORYHMSVYPY-TVMHKENRSA-N,4.6,0.662757832
,CHEMBL3774769,CN1C=C(C=CC1=O)c2nnc(SCCCN3CC4CCN(C4C3)c5ccc(cc5)C(F)(F)F)n2C,STIWHEMFVTWALB-UHFFFAOYSA-N,4.6,0.662757832
